,iteration,Air Force Def,Akron Def,Alabama Def,Appalachian St Def,Arizona Def,Arizona St Def,Arkansas Def,Arkansas St Def,Army Def,Auburn Def,BYU Def,Ball St Def,Baylor Def,Boise St Def,Boston College Def,Bowling Green Def,Buffalo Def,C Michigan Def,California Def,Charlotte Def,Cincinnati Def,Clemson Def,Coastal Car Def,Colorado Def,Colorado St Def,Connecticut Def,Duke Def,E Michigan Def,East Carolina Def,FL Atlantic Def,Florida Def,Florida Intl Def,Florida St Def,Fresno St Def,Ga Southern Def,Georgia Def,Georgia St Def,Georgia Tech Def,Hawaii Def,Houston Def,Illinois Def,Indiana Def,Iowa Def,Iowa St Def,Kansas Def,Kansas St Def,Kent Def,Kentucky Def,LSU Def,Liberty Def,Louisiana Tech Def,Louisville Def,MTSU Def,Marshall Def,Maryland Def,Massachusetts Def,Memphis Def,Miami FL Def,Miami OH Def,Michigan Def,Michigan St Def,Minnesota Def,Mississippi Def,Mississippi St Def,Missouri Def,N Illinois Def,NC State Def,Navy Def,Nebraska Def,Nevada Def,New Mexico Def,New Mexico St Def,North Carolina Def,North Texas Def,Northwestern Def,Notre Dame Def,Ohio Def,Ohio St Def,Oklahoma Def,Oklahoma St Def,Old Dominion Def,Oregon Def,Oregon St Def,Penn St Def,Pittsburgh Def,Purdue Def,Rice Def,Rutgers Def,SMU Def,San Diego St Def,San Jose St Def,South Alabama Def,South Carolina Def,South Florida Def,Southern Miss Def,Stanford Def,Syracuse Def,TCU Def,Temple Def,Tennessee Def,Texas Def,Texas A&M Def,Texas St Def,Texas Tech Def,Toledo Def,Troy Def,Tulane Def,Tulsa Def,UAB Def,UCF Def,UCLA Def,ULL Def,ULM Def,UNLV Def,USC Def,UT San Antonio Def,UTEP Def,Utah Def,Utah St Def,Vanderbilt Def,Virginia Def,Virginia Tech Def,W Michigan Def,WKU Def,Wake Forest Def,Washington Def,Washington St Def,West Virginia Def,Wisconsin Def,Wyoming Def
0,0,0.500265674274387,0.49794868227733946,0.8837892219506093,0.69617179339196,0.3639866114152569,0.5184916140055164,0.4846239817868861,0.5237248416363081,0.6374218651635293,0.8081957236457058,0.5855240848804953,0.3877838516181654,0.36955913263356754,0.7374230066457239,0.6233359585943589,0.39355451067977637,0.5252037650643298,0.4654920998290734,0.615395634674089,0.5199353284971213,0.4555286326500954,0.9265798101225674,0.35112718939046317,0.47839318230963523,0.37382802370170853,0.09142027645745715,0.6903262073528719,0.5662761864448158,0.16370184106528848,0.46570632743775525,0.7633600858161373,0.48778058548806125,0.5786603370179492,0.7490194061683032,0.5113826256381941,0.7490570709179419,0.30063980586563605,0.5120265401643446,0.33987776483793336,0.21853088403271245,0.42561517480710565,0.6924118841856258,0.8541591301754652,0.6293282358462331,0.4094018403144273,0.3842426355798287,0.2960150776409498,0.8236459713523137,0.6979910276534291,0.2618472102111797,0.6227835219180351,0.41541577359245546,0.6231437220660879,0.6168163104343317,0.6407768758102386,0.17987290343432777,0.22972195802541692,0.6934948206184123,0.5483885894626193,0.8728812474873656,0.9443203899174225,0.6580620810480426,0.39987707676345297,0.8965708074572319,0.6128894176802376,0.6342208392441098,0.5611102205800027,0.30907131669147136,0.6075831903960761,0.3950025811089612,0.3225048854630569,0.242233388974471,0.2700775094590404,0.5059526957213526,0.8274404094839835,0.7565250861382238,0.41917991759647216,0.6597271329170877,0.4718617972259002,0.3238135394463774,0.33943607937132936,0.514026030053305,0.1720542433906116,0.840628514692712,0.5338340277723902,0.7238432583191788,0.4712338962070102,0.6726776845769511,0.21899616948769554,0.582219331778376,0.19095386501517095,0.23390032685351164,0.6163715594776628,0.27729853201514826,0.6660251309104177,0.441613348520533,0.3839373793911507,0.5868519840621482,0.41673381821205185,0.6257840580242502,0.5019112332731563,0.7418483832380104,0.4613513217022315,0.28968912450023787,0.39749910920396914,0.5709758924956087,0.408593429506974,0.32030975965988484,0.6503471218380354,0.3954770347804946,0.3449563721522303,0.5,0.4059856399067108,0.2365726466599791,0.40133879293810304,0.609080662216537,0.334757589265578,0.6634950551935802,0.6114265643934194,0.5852059878846902,0.6310157520992707,0.5907733376387285,0.29619771642535697,0.5030716301533493,0.4810675147908006,0.8158144181471875,0.4753719634797769,0.29475813768062875,0.796407538698886,0.5903926724719972
1,1,0.45059390569520447,0.6192828184461528,0.8580800198324271,0.7377122320459041,0.4444593541519472,0.5726330931901014,0.34995127701100615,0.4693473119375145,0.6210647195232927,0.8308306583601938,0.6211490058284284,0.4288808008682948,0.39048791004392114,0.7004795204991849,0.6523625074625024,0.42232242693305927,0.39633155571662637,0.46217433948170644,0.6140978875616183,0.45667060994577857,0.5625910256035633,0.9827823359004546,0.44796509584550637,0.437719352950491,0.3302683321344975,0.030882691805504372,0.735006624363159,0.6323740784742216,0.21814526351722327,0.5604360512397271,0.7842781141915712,0.5140674597148045,0.6423992035522438,0.8273908840533898,0.589380773111609,0.7840902213413551,0.3089120692990587,0.6258415674836284,0.36238905160873724,0.23462283420685764,0.4435666396423874,0.6700705372316922,0.8307552113140295,0.7168609481692666,0.40487306136343154,0.5803183754201092,0.41760480007299017,0.8079972416163941,0.6973719076582253,0.2781155472350438,0.6105667372921114,0.4970152730516244,0.656541751996725,0.6546081706165233,0.6219737592869543,0.28046136344517064,0.2531518627504843,0.7465469142023412,0.6722319922141557,0.8850492988316606,0.8756673830009669,0.7663992723340793,0.41096007594674344,0.9242614896062328,0.5890234997187881,0.7069066387699966,0.5815716107435751,0.3354166458823542,0.6163798830575414,0.5205360232308003,0.34186073663630556,0.3288713038669857,0.4070575152489087,0.505485314978271,0.8652770258341425,0.8182345178229397,0.6369514959479923,0.6770235769186983,0.3491856377888693,0.3545914837677237,0.271171274260428,0.46292459229564187,0.21102095672762775,0.8067113268928617,0.5412577683171937,0.6976322699728104,0.29899195277955654,0.5401303445315464,0.1811698341285402,0.6038803054931872,0.3529579036783219,0.38105177190006617,0.6646432620194936,0.32113792329603924,0.6027140052576325,0.5636346164901629,0.5608181979006654,0.6426628621383588,0.3415446466383103,0.5793100880707481,0.3797916266428376,0.6942923193599057,0.471738113274166,0.3747056634045717,0.5070772862302516,0.5663813249143947,0.35017948674209076,0.23606449183409703,0.5663492981812143,0.4063602784079754,0.35973554827685694,0.5,0.36872204424229177,0.2880884033142832,0.5980578967092619,0.4695414162318752,0.30159769854614676,0.7844311129939219,0.5061711383927205,0.5970275953522745,0.6899607214570532,0.48752529806025685,0.4983194672920758,0.576032724540475,0.4723247270905495,0.7910297551220408,0.5881496328995667,0.422398327322594,0.8515610575314135,0.6100196333978616
2,2,0.42874990725490003,0.5901933764620372,0.8017635654003188,0.6432506654024616,0.43354735237599823,0.5699683970080007,0.48813034066111793,0.48908823603104506,0.6218584388831276,0.8560930434769107,0.6343436860068057,0.30595100986564133,0.44578300387700004,0.6446154351059281,0.6943003577551407,0.371095226954864,0.4733456093219917,0.43560528270988386,0.6725133166615129,0.48822545025923236,0.5075881855820504,0.9909046045131812,0.33324826967781335,0.507495498617377,0.36296841581626865,0.09321601808171943,0.6429781330771159,0.6826662597514558,0.2738548324050536,0.472983134403161,0.6585785162348433,0.5173925207945194,0.6065480847380631,0.7733363085757278,0.5243630698096213,0.776099086036733,0.2664580711062178,0.524123734096541,0.2968286563708927,0.24151061464390056,0.4285434386547827,0.6564950897382603,0.9129010559041002,0.692797913024586,0.43463106725856593,0.585913991269268,0.2522745650776954,0.795786517188945,0.7498891060141492,0.2546726700999773,0.6248343639131061,0.42973014414075694,0.6234993644434147,0.6672675494700516,0.6236120440723427,0.25325963262758505,0.28035191633282475,0.6747999641006565,0.5266361492207091,0.8517332785735086,0.8746820936179974,0.6962295377854582,0.45060572399561966,0.9262917441218017,0.5826906705119282,0.6355334510155655,0.6074045749093505,0.4150468922602566,0.5961424402075698,0.3812625648065559,0.31154378417994416,0.23453746071347714,0.4361404037034192,0.37958861597829363,0.8878634183864358,0.8323545781905333,0.614061308263607,0.7073911877283253,0.48245688475950094,0.43470816495963854,0.2573957522981463,0.5203495124002896,0.273300375163815,0.7806528064262739,0.5671499719206707,0.7522095621484445,0.3057947347657183,0.604964671818959,0.19521913899663423,0.6497934009182329,0.2023602876979992,0.1947828684563954,0.6394329829932336,0.2921896178289511,0.6033696793391975,0.6961549977744758,0.6471736609056743,0.5497629491385321,0.532779869229938,0.5284615710950445,0.597859360856002,0.6777658939511637,0.28601121634249455,0.3171038887681885,0.3686290404226954,0.50643958409144,0.3828849221859272,0.32092100943520824,0.6737478136130016,0.41976211801519053,0.4808180245543269,0.5,0.3010912550561874,0.16408200487192917,0.5829818291325016,0.4518071529695948,0.361485429970024,0.7495601984791554,0.597939047371713,0.553777564607218,0.7301054348770941,0.4908854127466555,0.3604455043772107,0.42834914362825666,0.5118609783111326,0.7867330105796148,0.6270331196938249,0.45622210881596303,0.7740916451880205,0.5737513387448353
3,3,0.5015578821566375,0.4498867124105576,0.7062355432699169,0.7169972456358688,0.367667780841021,0.6264743934077677,0.3985356601724743,0.49491053130893947,0.5582190950064092,0.8506439721581439,0.6541695564192537,0.2352496022091252,0.4436742190634939,0.6891684551096486,0.5377668305386616,0.32645658482030837,0.5929069458503989,0.5259975055862777,0.5845703612278055,0.5297761091168963,0.4995433826702292,0.9190670574442884,0.37035521838370056,0.43606662469352164,0.40909298206192285,0.1704293067332765,0.600347235353635,0.6057640664825399,0.28828747760046475,0.558468812815081,0.7639797479279725,0.4965243904006451,0.672420385341378,0.8107430755257848,0.5908925384793716,0.7251113622090037,0.28225914279616116,0.5489115358926897,0.3703053975935549,0.2507809261654933,0.4222122004397611,0.6248710863083251,0.8193700221079601,0.6063608492880805,0.3141531387599319,0.596808591798121,0.2976257248903804,0.8614838421432854,0.722556213119468,0.33958176022261494,0.6282640104532241,0.4334689289040151,0.6819690180497081,0.6153804322656938,0.6678130432695554,0.3033904300612031,0.27932649956578953,0.6884353148427856,0.44465110203642844,0.7001927020761025,0.7945573267250112,0.606725312574744,0.4250763179727415,0.9067281441740805,0.5430982602226908,0.6397679983819344,0.5686683205303734,0.2527263792441455,0.4722858348371373,0.3736405961705454,0.4338320362731111,0.31845589104719463,0.43834631880589886,0.5396721803458431,0.6336756785983629,0.7626121027327981,0.5695693599111175,0.6681312200524724,0.4922346533344838,0.399196083070494,0.31190935415048826,0.4072422696258747,0.18368666769008424,0.778698600215795,0.510517356635632,0.6577137156383419,0.34936405322748354,0.6111896848098529,0.25498307606729725,0.6421672845107287,0.27142989833741404,0.33743773738276184,0.6292981821996578,0.36773782510928543,0.6261551731043564,0.5932566784531138,0.47726049389701525,0.686374376191599,0.4279201643188606,0.6407700531392917,0.5300316040706341,0.7157394738101123,0.4945900317821467,0.3577436656148113,0.31850595833091433,0.6609145210500826,0.3711145958472103,0.3631975669924187,0.6558869399092213,0.5163790567511438,0.43643814917483226,0.5,0.4312435696321788,0.34614437970490847,0.44992020863424703,0.549117147980034,0.41329189797153293,0.6195237450946893,0.6012317613687865,0.6196925741193996,0.6882314033133677,0.5239304278702303,0.3158461698443302,0.579692289601804,0.45353591017779477,0.7708258256691545,0.486307558747742,0.5127525833037869,0.8663169737345686,0.6027782867049598
4,4,0.5263110571710463,0.6291732409196144,0.8640317610966144,0.6308226500889186,0.44651637448429654,0.5985487533247169,0.44279280915850006,0.5020504036561626,0.6086566144728093,0.8306055637628846,0.7099797024590688,0.3269009807762902,0.39609026726384405,0.6871972336422048,0.5940804457240166,0.33784711956024877,0.5241443701530957,0.6007220817817679,0.5872797448098225,0.4484552249684705,0.5093292020874463,0.8939165935783226,0.30309007842192814,0.4597341240190176,0.399394884785012,0.05685932897527258,0.6098183741889064,0.7050451019375606,0.2432300373165965,0.4863985556693167,0.7934470442176641,0.5195210475743839,0.6171599412587199,0.7557200472606638,0.4788466673615838,0.7574342869449149,0.32318032574063255,0.45931936711727656,0.3284869496224377,0.14949218590963248,0.5565477501721263,0.6524375331284268,0.954830694776174,0.7855116329901276,0.5449860032610123,0.6898237877368277,0.31965842456859933,0.8622396545846094,0.7846865273200568,0.25197037620551066,0.6106594208796547,0.3993129593278809,0.6104590156902641,0.5974076714771239,0.6872648381285992,0.25357918159896553,0.296439423520377,0.7533343089802064,0.5095577504776149,0.9082524112677623,0.9406083047738991,0.700976163639949,0.47059222530762107,0.941550515328249,0.6384049289165004,0.6690868552487592,0.5592329888942553,0.3211584358193333,0.6595136293673257,0.529936886196555,0.37663869208693007,0.28449344797842396,0.37718797281789407,0.46031631291655584,0.8322242029162692,0.85375850351448,0.5554088135538137,0.6774358785262504,0.48955881370394455,0.4718010044908201,0.29104777821011024,0.4700084719583925,0.23056967059749267,0.8628520270387153,0.42923427698323036,0.8596875327489274,0.29204030515313706,0.6474078918563315,0.190910720520587,0.678569966131208,0.38241290362219915,0.2709592728122247,0.6347431653677437,0.23866027557653283,0.6336045048576834,0.639403570624783,0.5243307064803499,0.5017073212378285,0.4824836971628278,0.6238815327163407,0.6744093952163607,0.6756489417765774,0.42089603447639784,0.4113901850744584,0.40916110531941824,0.572691182329014,0.31711539787398263,0.31642548421439726,0.6224369805178721,0.5205090894216367,0.4100278273522281,0.5,0.3954461368209531,0.3386014317570645,0.5703098837573203,0.48901659892640587,0.3132146134458856,0.6301242956331884,0.6108767956384077,0.6513429973205613,0.6998731885862152,0.7008318237648711,0.45105838089799005,0.48749082140898525,0.40901467754943777,0.7997783119775936,0.6145960599918174,0.6937636927860117,0.8448118890257342,0.6357842001310798
5,5,0.3827748033826196,0.5165618214279779,0.7524331074897888,0.5997385574928823,0.3061625995639977,0.46674080113551736,0.39588200653355066,0.4302851084386709,0.5740382337207783,0.7688969507111569,0.5032674881246892,0.4194117519858539,0.38928085455154776,0.5843149137926755,0.6494603814241988,0.3726020985397151,0.5171741644534452,0.41498051424985155,0.6185758120496291,0.45515878419877925,0.4664283681155463,0.8953384211785015,0.2996964491413173,0.3391234766760462,0.3488414698459255,-0.008752756222640866,0.6922415498169813,0.6427553002726788,0.08027933863307617,0.3976900427751744,0.702892553744842,0.3972819017391798,0.5858871776030014,0.685382643926759,0.5224240343387673,0.6941259769052984,0.3059359088163218,0.5053061034687226,0.2644382004658567,0.08628639084686965,0.43575363370557585,0.5912084338124358,0.8211257728244724,0.6435999530371934,0.4163181327564526,0.47139800346190336,0.3550338490347905,0.7342547370048086,0.6923370542934861,0.2863687552124352,0.5503292147663805,0.3683211630323393,0.6209832925522969,0.6318700994654577,0.5884158158018695,0.2803037883588217,0.12527030664799516,0.7923851163555529,0.5381596796860412,0.8517025996861212,0.8286641225877991,0.6098628593956884,0.36522873836459235,0.8666000565325505,0.473433305302904,0.6482342182266787,0.5552888608389185,0.12507286754424843,0.609507746204505,0.3966205195808327,0.2912436640166451,0.25356182075419903,0.5550661921687845,0.34342274189289973,0.821937116889039,0.8805563273564073,0.5963147098846655,0.5921586064758493,0.3510425691399143,0.31834474644754684,0.18826337888772293,0.3911041595369486,0.1906066624115989,0.7315890309532757,0.5794119251500903,0.6651414937980418,0.35686308883846773,0.41025808733890384,0.10106162957222634,0.5646935810702541,0.2479685541211202,0.1881194549006554,0.5939894890708184,0.2525208790525754,0.617279097311033,0.6773401989372343,0.5185075479543795,0.5041201195712313,0.3861256661619151,0.5905940584314754,0.39590209061154225,0.5979886655191058,0.49390844581934523,0.3067018693970978,0.38978029121118,0.5608008651178681,0.35349096212937364,0.3256605202603005,0.41435547553751273,0.39100259305488305,0.43725400101767836,0.5,0.33859033558167234,0.19466669189948563,0.4116111077762294,0.6266567655448742,0.29920016734903654,0.5976568014765296,0.4820959400801654,0.5963115840494533,0.686791424836654,0.6622156229501782,0.41953064788769445,0.49474317223234077,0.4731945295130314,0.680690856566828,0.5152773245516168,0.3193436322778131,0.6491271360605266,0.6070703801632946
6,6,0.42726901334878764,0.5208416404578153,0.8543273643619281,0.6421749947094343,0.3604498534749936,0.39801665187394425,0.37861446302401836,0.4455815352510656,0.6049254560705586,0.7801103164421946,0.6405504778246347,0.34229581866338504,0.3648070563904528,0.5396394430664293,0.46154061820267595,0.35027300115968313,0.3841308775866359,0.46939718309293366,0.633563638390111,0.48390183653128255,0.4817622043143396,0.8958748203557592,0.287335951188151,0.4837104782989561,0.3107197453379576,-0.0623575709236224,0.6430603346787702,0.6269139974699656,0.10916458823761706,0.41952641958568215,0.7162302949379686,0.5316282066789346,0.5265756763935334,0.6763452838341679,0.5016922553678413,0.7115315096532469,0.24013276505034073,0.476066296855094,0.3159888279364359,0.2071605371428832,0.4450679210434523,0.6135650555921203,0.8765283840534234,0.537860037213758,0.32434020490408966,0.4884984830307544,0.32947486078615307,0.7603580743171799,0.7483733386709148,0.2373401111003883,0.5897814664275945,0.3617222400954098,0.5637907710815909,0.6513720765683121,0.5772105595343725,0.18522218774132887,0.20785360300501093,0.719579571019134,0.5362324667802516,0.7574329120674183,0.8434730440599758,0.6359711394319879,0.4118179737702255,0.9210002035595833,0.6341712692383388,0.6868404689393827,0.5292431284949044,0.33723402999057445,0.576172147788684,0.4185838442069544,0.29930092446633094,0.22405550233955254,0.48999623552290317,0.49492356612267946,0.7350164963322738,0.8122688326016712,0.4899410743905336,0.6821337785480138,0.4118787802368783,0.3607713942611511,0.2683952106115074,0.43540537139357777,0.18705733448382794,0.7778995419050801,0.5834965872779638,0.7614582554137269,0.2773754210769169,0.5547256934870473,0.1580759712527462,0.5605318679834319,0.21549007521658187,0.20595451056775377,0.6027406667666888,0.25829358801962915,0.5669148042148667,0.5853240805950422,0.5668750661353337,0.4757264900051447,0.329136630891476,0.6171680961170483,0.3851421245170298,0.6836813917541156,0.287660130957937,0.21810099282790982,0.37840095827858816,0.5854435966174277,0.31978686704069814,0.22792140330757954,0.544755729060769,0.42417255470082965,0.36893849786485994,0.5,0.3027824112442627,0.2698943200022366,0.4370848850669321,0.46605577105025736,0.2580027954266958,0.7049712631551992,0.5668626063215576,0.47893472968989315,0.6176448648835771,0.4758406141899963,0.2810605983851939,0.5034399721806743,0.3881570125155294,0.8059711877244432,0.6142204689737341,0.4521420166249996,0.768248105018089,0.5544223455512785
7,7,0.4378716138839858,0.5646763408615695,0.7168810816684381,0.7377892067625577,0.34144452839452494,0.6022117167078463,0.39145035428454056,0.5063486612683249,0.5738700712025157,0.7608826213148521,0.5865431984666568,0.2625517841741764,0.3550336485167232,0.6104247000247975,0.5562482729063086,0.373708499576933,0.41556477758438426,0.5304330761529866,0.6099824525993773,0.5209280408549003,0.4467997012738121,0.8896515231580278,0.3331015942493832,0.4204885326195207,0.28708756687735965,0.02949951604750199,0.6587241289150823,0.56922647374488,0.2146927098694099,0.6129843251734656,0.7776004802286358,0.5076590180194731,0.5784798113528773,0.7744956317573422,0.5813834397837642,0.7213789229639903,0.3117434413281809,0.5007128266625955,0.23178246382072967,0.17145139452123698,0.4436586117170741,0.5972176564483609,0.8674052431581241,0.7071517957269104,0.4986586075579634,0.4922145890767788,0.33113494149915934,0.833464992626626,0.6261120522482507,0.18299051483858206,0.5659768568447354,0.38143080822167874,0.6111768111837788,0.5219099142666053,0.7325149198804458,0.18074209064246907,0.1835894915690941,0.7321629647487833,0.3733859928472002,0.8316223047835425,0.8839065580163001,0.650079486987488,0.47762180037928414,0.8983603804836241,0.6387776911715726,0.6378952154312595,0.560019425709049,0.312109466762105,0.5637350674462922,0.4443381923009965,0.30850444784216957,0.2494256015329363,0.35025486241910336,0.4797990197829312,0.765863154371866,0.8570982967085173,0.4756510917077485,0.7180125652302323,0.4512053875535704,0.49708701205163575,0.297080892339824,0.6069343945075111,0.21617688602409202,0.7816684122366012,0.5793302407351066,0.6601111728188575,0.3276296615247902,0.6189541395841364,0.21446804882969786,0.5878879182629962,0.23964034904134351,0.2373958508238024,0.6614763301494667,0.29256147780438285,0.6215701109682302,0.7292314857459271,0.47687552379911896,0.5284420450641983,0.3722166616568439,0.7281677299699161,0.4853905066420591,0.5261061282134112,0.4490442879475778,0.31374001521743383,0.33410107096458463,0.543225865315974,0.3780919917571094,0.2831224748255163,0.5442989008376481,0.46158599625812563,0.41033819850543624,0.5,0.37382439462079026,0.2800965697125436,0.517341609203336,0.46533576970662976,0.3456853824972829,0.6057738543599018,0.5967501224957031,0.6605005761078894,0.5526212712543205,0.5069172965906579,0.28197500105440443,0.5013652591253926,0.4275872858614662,0.776374211256621,0.551173660533554,0.4914586433602371,0.7465697256429743,0.5815405648959959
8,8,0.4669065758329271,0.5221788902942779,0.7218435067950305,0.6549904357676761,0.46095454491743165,0.688891981169583,0.3554888663961167,0.474990999914494,0.521504340932085,0.767770284141075,0.6705531238320908,0.32207671462867155,0.38397017534008393,0.6746970675837718,0.614127965827143,0.3317308181152039,0.5548320509698872,0.35468303055074557,0.7113867954548105,0.45075759072440047,0.4548634989701289,0.889799237346574,0.3119213999188099,0.4381826491210932,0.4285651940946541,0.043406843649911916,0.6033958383422271,0.5299350027917312,0.19817514101924572,0.476739461165207,0.7144157374890004,0.44808156575865804,0.5473943659492904,0.7819375550531301,0.4895311733290703,0.7499913599570115,0.22812010357554888,0.4414109177194885,0.3042618430414054,0.050374950200614506,0.45999524317865664,0.5973684571260375,0.8843368060373905,0.6108170966121901,0.3621485454463325,0.5946267588602795,0.2653642012103815,0.7393888360915584,0.667916732356407,0.22633578225647472,0.5674834388186124,0.32865612895112584,0.5395407929520694,0.5510766342367538,0.5894950286459437,0.2772719814944054,0.1810170101332722,0.7503145183585231,0.6005385337206209,0.7775679600717565,0.8757837072591393,0.6977576509056607,0.39163701766442366,0.9229156532020002,0.5229162940747262,0.6114601741294645,0.5708193891605899,0.189952983798008,0.48469081485620297,0.3612887555446189,0.28584940098341755,0.2487178833494468,0.3908017242493374,0.41983349728637537,0.7676445213470104,0.8151197424656931,0.509616654635766,0.6485384050867397,0.2945301103345568,0.33570331608830356,0.2978891859985886,0.5548301318898827,0.2132740413160887,0.7911711941790561,0.5501088422866636,0.6340433183853554,0.24459033374687575,0.5308053279913619,0.11936977263671662,0.5913582101457614,0.2730476724943703,0.18606401256688085,0.5106204409424447,0.29286583498662094,0.5678026661202296,0.6744455322850357,0.3711334000262586,0.6369289097278469,0.4173481573211931,0.4897649495677857,0.415211881941687,0.6623253043391439,0.3385963533487867,0.29603244812276186,0.36976209847774766,0.5241185356499697,0.3588701683767056,0.23715832071623244,0.569805635819747,0.500728761401977,0.48762086156315004,0.5,0.3100383818271371,0.2744958005362763,0.546243784984211,0.44127759476844663,0.3254532888185694,0.7311094516183789,0.5253278292590452,0.5681907770944645,0.5124804552897595,0.49598274611565607,0.39249862510077294,0.40038057939924077,0.5725173408326639,0.8596641287692565,0.5947407401817992,0.3222860197584303,0.6969953129052912,0.631602057707039
9,9,0.4088740459711999,0.5649863746626124,0.7705100756097618,0.6137151781657226,0.3648659622113374,0.5231710843930718,0.48092372700756497,0.4228527026358799,0.5849684422136788,0.7441297533018648,0.5735769695414196,0.41569708649285736,0.46889412999724717,0.6519711813940028,0.6040975405383344,0.2966116403042392,0.47015629485835314,0.5263134570797936,0.44097983483455155,0.4648301043822212,0.41699739186339824,0.8922417109987018,0.28993761516159605,0.34396038006889335,0.30083287006211795,0.07573695442597853,0.5807961395850085,0.552033890371253,0.15123863832754117,0.4734669784914557,0.7932621748952442,0.4123745856731822,0.6423430658310689,0.6650281393706979,0.4480775680751456,0.8032082905408622,0.24490246985467634,0.5024424345096146,0.23929063910440324,0.18769547029579278,0.37073632880229684,0.6231401480487349,0.8589134752470519,0.6889393796579066,0.40471096691077174,0.6548771743909353,0.33304943920890995,0.8181737865593754,0.7768792852502668,0.2045124488459151,0.5343498954080834,0.43268144771107403,0.5984014804317086,0.5924169230778812,0.5043716413576754,0.18987126780338362,0.2136898341975567,0.7179898662548596,0.6143474943558573,0.8617409914736703,0.8548511209423417,0.5969457183752769,0.4715745993376601,0.9467102116807856,0.5639153970852134,0.6872302345387499,0.5758894909759436,0.3395507468566335,0.45947232367831614,0.3161731203991728,0.3196642458410833,0.20592701914122796,0.32803891084112524,0.5373859538024972,0.8979914127781435,0.8344046616213765,0.48985565684935023,0.6349878269982606,0.3566004265969896,0.35229871522079276,0.2784461446537127,0.5036021532722503,0.1622429907305723,0.754297010251618,0.6144008418618397,0.7152194167217698,0.35385467448143393,0.5360366802168057,0.26860885648970323,0.528477983573264,0.19223082803982008,0.1770592259128619,0.6795903731586618,0.23022312347135604,0.6569048660074496,0.5747130527656994,0.5153471266392478,0.5681201465550234,0.33382785909473356,0.6099057533824871,0.4397800158766642,0.7092052470794092,0.3791428417304542,0.3029895897515158,0.3207267732276816,0.5068325675938282,0.3151250429820446,0.2803655032067674,0.6610127652140113,0.5023389175333909,0.39139127579201594,0.5,0.30597677558356845,0.1724224411761011,0.4870214981516485,0.5685207526272887,0.4085203732752011,0.7945600775734776,0.5246230411477835,0.6791079431046644,0.6656843707788385,0.4786341178987462,0.34416758149481863,0.5242661556801044,0.4665162338144442,0.6591908645981354,0.47531699830537166,0.39876208081448805,0.8012504548788074,0.5915545301711397
