,iteration,Air Force Off,Akron Off,Alabama Off,Appalachian St Off,Arizona Off,Arizona St Off,Arkansas Off,Arkansas St Off,Army Off,Auburn Off,BYU Off,Ball St Off,Baylor Off,Boise St Off,Boston College Off,Bowling Green Off,Buffalo Off,C Michigan Off,California Off,Charlotte Off,Cincinnati Off,Clemson Off,Coastal Car Off,Colorado Off,Colorado St Off,Connecticut Off,Duke Off,E Michigan Off,East Carolina Off,FL Atlantic Off,Florida Off,Florida Intl Off,Florida St Off,Fresno St Off,Ga Southern Off,Georgia Off,Georgia St Off,Georgia Tech Off,Hawaii Off,Houston Off,Illinois Off,Indiana Off,Iowa Off,Iowa St Off,Kansas Off,Kansas St Off,Kent Off,Kentucky Off,Louisiana Off,LSU Off,Liberty Off,Louisiana Tech Off,Louisville Off,MTSU Off,Marshall Off,Maryland Off,Massachusetts Off,Memphis Off,Miami FL Off,Miami OH Off,Michigan Off,Michigan St Off,Minnesota Off,Mississippi Off,Mississippi St Off,Missouri Off,N Illinois Off,NC State Off,Navy Off,Nebraska Off,Nevada Off,New Mexico Off,New Mexico St Off,North Carolina Off,North Texas Off,Northwestern Off,Notre Dame Off,Ohio Off,Ohio St Off,Oklahoma Off,Oklahoma St Off,Old Dominion Off,Oregon Off,Oregon St Off,Penn St Off,Pittsburgh Off,Purdue Off,Rice Off,Rutgers Off,SMU Off,San Diego St Off,San Jose St Off,South Alabama Off,South Carolina Off,South Florida Off,Southern Miss Off,Stanford Off,Syracuse Off,TCU Off,Temple Off,Tennessee Off,Texas Off,Texas A&M Off,Texas St Off,Texas Tech Off,Toledo Off,Troy Off,Tulane Off,Tulsa Off,UAB Off,UCF Off,UCLA Off,ULM Off,UNLV Off,USC Off,UT San Antonio Off,UTEP Off,Utah Off,Utah St Off,Vanderbilt Off,Virginia Off,Virginia Tech Off,W Michigan Off,WKU Off,Wake Forest Off,Washington Off,Washington St Off,West Virginia Off,Wisconsin Off,Wyoming Off
0,0,0.500932871610307,0.171195294854597,0.8685235290543386,0.629748472146931,0.5780911831951534,0.5876928766955645,0.5164812454263559,0.5109294177626021,0.51785159718288,0.5865995434627639,0.5086175738470284,0.2701063889441979,0.5586140712385624,0.5530738330886064,0.5695828624442019,0.2949591995261654,0.4702881259447441,0.18849919605358045,0.42038549876735193,0.30889415829248146,0.5461068563001829,0.793836596960068,0.49174735019211324,0.5034956449022284,0.358220598696898,0.3806307013947939,0.5018675963285112,0.3467200319283422,0.5495155090979371,0.5549936024968575,0.4652205639984046,0.4608034396569796,0.4156820974839635,0.41556558300083163,0.5159725579113587,0.7100187034450149,0.4472370645981556,0.5122341521237047,0.3646483445058129,0.8564345996558191,0.47149919851392325,0.49032960646526585,0.45084798670152454,0.7304412621197679,0.41855261060298665,0.5351376275742945,0.2134170955486825,0.3801993699600065,0.5466220593788064,0.6613376678757074,0.5045678911857955,0.3937135581597994,0.40950160216178005,0.42377261863387977,0.44818339559834863,0.5899554757593362,0.4811958146996028,0.7718979548647755,0.43761335169136373,0.47141993258868464,0.5272295332377203,0.257760911436757,0.4759948116502425,0.6011610149527519,0.4146983517324197,0.752062532830698,0.35544802467702463,0.6499331041833506,0.6170502212121649,0.47096118891193695,0.4017738566724158,0.31975870649732563,0.4410211986934578,0.5001360573694055,0.5327827170867301,0.3738953790061874,0.6048717182321081,0.7133839375646277,0.6894353605056529,0.9517657722769687,0.9177154961802484,0.43148187414977623,0.4777344988873275,0.3788562899009301,0.5740553667976275,0.5014591199034708,0.6065875289195456,0.3014278986937546,0.1488418866664299,0.6387507165275799,0.3431817065269506,0.27147962012411647,0.39423101621037443,0.4705320702396783,0.5602867235157382,0.3476520698459632,0.42769114997133434,0.6929539053970143,0.5917922080594226,0.7296083442762856,0.3750441345719992,0.767730461348112,0.6408858651472419,0.26061241994028966,0.5848262094851313,0.5594475054924573,0.5262911278531084,0.7113171276129353,0.5258512269596936,0.3791585709760661,0.9112515381046237,0.5571752129787292,0.440521260019219,0.39748390025010705,0.5448854094982962,0.20851592925638965,0.1858365465887437,0.5030263127707937,0.6149095722464198,0.5993378336135599,0.3912270029102051,0.4918735803194781,0.5336676377579384,0.29432627453421056,0.6616443585204875,0.5566588770910477,0.574438285976247,0.7841552196685453,0.4779035810602758,0.3141085136233739
1,1,0.570187410393639,0.21846420507758732,0.8575507380839558,0.5297590710596454,0.6097149058754735,0.4558054794217,0.4396400608753845,0.5677987161951277,0.6358819067948508,0.5736170597801653,0.44265844877025934,0.25590821014586174,0.48904439373882047,0.5350122441683776,0.5210674615893769,0.2576423659871412,0.5357351388948314,0.11549374469095203,0.3237330052641737,0.3137782402666689,0.6114526777990599,0.7826086559611445,0.44795538372522165,0.4924944074083429,0.4101829966128364,0.5744936839086231,0.5369938781717509,0.3134204583018736,0.46673661543423234,0.5114043496791053,0.5728030902282656,0.4397382681824253,0.3074535095926571,0.4398182055045257,0.48955180278238514,0.722147748012234,0.46413824107959095,0.42989873802355066,0.44202373901104675,0.8237385233794369,0.3389198924850417,0.44229249382949404,0.4597132332933225,0.5623285399245356,0.3954637073619594,0.46549238363408146,0.24391481735903997,0.44349961704350993,0.46487365281993936,0.6939368196833007,0.6085914129165788,0.300620525120739,0.35947017448672636,0.3965755464525631,0.40176238976920187,0.4166465022757572,0.5575974538797883,0.8363605443852218,0.3544306415066385,0.4897034747183238,0.5596636887254152,0.2953932529523271,0.4485352437528182,0.6544712212260719,0.5046749879109652,0.802348241555135,0.3679688297975769,0.6335916225982013,0.5326724683714511,0.39973059244844117,0.4818155503170285,0.359285285464181,0.37371131701130433,0.5419053144336119,0.4900964798767899,0.41731803550313606,0.6460362491288157,0.6164722163713914,0.7372803695114513,1.0058417559637791,0.9166412715612011,0.3711727273533853,0.5021741210881299,0.5034371774134531,0.49242507345980374,0.5221365425091813,0.5602123747619309,0.2366545313663668,0.1366462707948314,0.6058228141016658,0.3752691481597874,0.40682540828173397,0.407386530077499,0.5663690438569784,0.5625951165258228,0.2706989602966333,0.5230503780362928,0.7572352312197995,0.5317697247538832,0.7209673143523476,0.4081266214665217,0.8166046867186344,0.6391033466675122,0.24265411142377352,0.796845102924466,0.5020708532948693,0.49050567294055053,0.5910032849775121,0.5107182709081631,0.3638671285107524,0.8868543314817872,0.4158619043345686,0.5055928172575831,0.44650332174390667,0.5685293075804129,0.1017108121535432,0.09507539462736703,0.5382378216542032,0.6985749275615428,0.591781058818651,0.4778290364147374,0.49558267581225107,0.4451768804061185,0.23271412900259483,0.6564361682491632,0.47930176491046644,0.6477741599531411,0.8523802612774817,0.47951789942175777,0.41889716179721487
2,2,0.41159863944466096,0.1846566558573151,0.8069919500709014,0.6013549567636567,0.5695286418473476,0.5540200260836428,0.42460210241028773,0.5101992763334632,0.5516304385290132,0.6063003697873608,0.4056876569535299,0.1795929504847415,0.5178906056403272,0.4682315562001836,0.5431637144992636,0.3198477984783366,0.4396739968570418,0.11901110482224066,0.4049543211070655,0.21267334452899042,0.5530753604073193,0.7477341031249622,0.4460307741519603,0.5293784124087129,0.34849669081982754,0.3150538221415122,0.5558705891995858,0.3628237421280677,0.621629239397597,0.7261267102810728,0.4939348137391462,0.3822808167655801,0.38981934743139984,0.4143060300312437,0.48345474644500214,0.6736082203972847,0.4941297007725507,0.6162827803573103,0.43654010009213984,0.761738592115257,0.4969973946168359,0.4336550849612494,0.6219762510989644,0.6297461983934429,0.4464390515739593,0.5115710408026104,0.2532662987141616,0.3587203943315516,0.5148757143027853,0.6445868962321192,0.3680394325537791,0.27297727097196517,0.3978745469804684,0.27794837076150075,0.34895963549306197,0.5815148529102536,0.4703112587699029,0.8968782293276643,0.41951496434536106,0.37363740860042066,0.591619785964569,0.302018607024465,0.4883517881648582,0.660442150764002,0.6085849280704205,0.6728595796423334,0.2925053382057194,0.6687573261633596,0.46966924565188795,0.5211011547643783,0.4200135636629929,0.3225592956310502,0.2761461291687127,0.4963799348838525,0.5507122494828592,0.4998052493846808,0.6859071378353129,0.5872370623666343,0.737259030328313,0.9934645007471314,0.9162904354427059,0.525829029468571,0.5153387726729116,0.47235705802625755,0.6032438317256767,0.5492838363539152,0.6979238195298817,0.1732342427264157,0.2042012925803867,0.5755331629989915,0.34030955942426316,0.30215769262671094,0.4768073345600637,0.4091636781953158,0.5958366695926619,0.21749957385396815,0.5573465801615521,0.7050704723335578,0.5761717200194564,0.6491775213352193,0.34979029441459697,0.7923155829053609,0.6771634586586476,0.21373291472223718,0.7878312088793552,0.4887372415500443,0.46546860202412366,0.48160588271233196,0.47364293096456855,0.4358636308940478,0.9598529173664666,0.4955934769217757,0.48466759153035815,0.4343268184500734,0.656916186839788,0.09685085094112186,0.12857204888677953,0.5128764998183304,0.6237156893293367,0.5188570017156762,0.42793156252754744,0.5154049475568243,0.3851571526900298,0.20329830682822694,0.5263220779474108,0.4560263050879779,0.5934550976568321,0.8643158864626315,0.5336716772393637,0.2899683202930999
3,3,0.485652651875929,0.19164561540373168,0.8308162558587845,0.5907420225402766,0.5835320820009362,0.3820974025930954,0.40713682543906193,0.4613034531372163,0.5367466140686453,0.5947265002753673,0.34735618312122235,0.32573062942952175,0.5967740507994046,0.5121326285608179,0.5301420863890535,0.3005656924546158,0.5405823814115059,0.2629581192940056,0.30778326252402893,0.32633768660922,0.6020611309648916,0.7909428229661516,0.457420269475525,0.5125664405901732,0.3872942538626688,0.326105725647928,0.5544961572206774,0.33799961082217855,0.5223216085468668,0.538359647639812,0.5551726066427318,0.4560324365553553,0.4136884078278899,0.45151397930055587,0.47600773216807507,0.6796612041377297,0.3958442284735962,0.4756866495179853,0.3716255085730652,0.7767666656154126,0.4000636629198742,0.5767854516650909,0.3947411319269757,0.7160338475667974,0.5131994958645119,0.48436323917876917,0.20575956394679887,0.3926359809601328,0.47370560067162315,0.5562053557151257,0.5478332365181031,0.2904689003435654,0.4178308888014851,0.3668785134764063,0.3807635314668703,0.47961190856503655,0.5383677788964502,0.7770704843550286,0.35320905805396086,0.439361902680503,0.5310360775520089,0.2169230208095059,0.4854652755002056,0.6629181721203,0.45727337502592086,0.6725473204391297,0.28310851242753127,0.5981861660715934,0.465597792482401,0.4564184134104379,0.379944921858543,0.41890077527738295,0.36562265682422135,0.3913641371729895,0.4735241942179801,0.3349533876894916,0.5226404855483511,0.6346573026873683,0.7215719195462614,0.9848417340252408,0.8684802160252568,0.38556652081953935,0.4398148250040795,0.5510749129554576,0.5185525980600467,0.45410983944041705,0.45370418542322477,0.17638359663853478,0.15435243651006536,0.46509211229422937,0.3391003635669219,0.27353705493837743,0.32732309436171847,0.5312736455499671,0.5952051051439092,0.29821696160259387,0.4612257724554629,0.662779604982963,0.47775616155635514,0.7076361139941058,0.2761016865238887,0.8099190612874411,0.5908611282444274,0.14282506303838013,0.795684473848209,0.5573833614120122,0.5561642195193787,0.500794379143361,0.45889197910943436,0.41791152475273496,0.9179709879325938,0.4849504144323373,0.48956244551920575,0.4133662762022329,0.5313750102552773,0.11453012722745276,0.12804522943860586,0.41107494094507363,0.5830979088421315,0.5063445316207074,0.48821588674891264,0.44717053599521095,0.45636044065790177,0.21730189253756935,0.6314085592356802,0.4129470588835234,0.6085576266660423,0.8267831395526691,0.4446974789410896,0.3576806055675663
4,4,0.44552182260610207,0.1717394702310949,0.8687133719498286,0.519194079818876,0.5874177582499484,0.6384517239714178,0.3821375885860131,0.6912914751112396,0.4841770119101088,0.5002763362691304,0.31208550343299113,0.21323893468628646,0.5281059518133158,0.5053479414040424,0.42846361351830636,0.2610686778705253,0.418348414839357,0.11206798249430705,0.34553008233776217,0.16576671095601436,0.557680038905841,0.762116799746399,0.5089099674088786,0.5732199369763821,0.363531765808552,0.40974686030209617,0.4722703063490476,0.25189910394511467,0.6357412070150635,0.3734645298153834,0.49993088882646747,0.2766075111408233,0.39144470809559306,0.4081514664409317,0.3883257047026228,0.66005934594148,0.5276674342904564,0.4954904828833562,0.40216063565757176,0.8861554828635494,0.3043660664798396,0.4360820693050276,0.45424451211590056,0.5036846280914246,0.36508668817439327,0.42078107818952276,0.22955086257794038,0.39838136444412636,0.6362095441656924,0.6095834054423789,0.4078910830273564,0.2640252583788046,0.29203289117443443,0.2188900229406888,0.34609997886876703,0.38591311760916,0.5346876182071115,0.8644869809449366,0.42925097884133717,0.3459036114951709,0.48614343554472017,0.2814229648215615,0.4639485448454836,0.5931292021021473,0.44613754469763434,0.7407427957354076,0.2541860795418863,0.6046929139897415,0.5218521126144714,0.41769677941160344,0.5042544122135209,0.24692157017323482,0.3301661309842942,0.3748039116978941,0.37510492346166724,0.29149410554312555,0.6441517777049669,0.6374831283799881,0.7038142490310912,0.920322337597907,0.6983388739287212,0.2920424004029675,0.5623902404658926,0.5839042465184763,0.43911047050741187,0.5866804189030549,0.5951993502942141,0.09025688896214366,0.10581209531734964,0.5039228470005209,0.30039824086752887,0.2893626378529599,0.4853843878883319,0.5541488136165595,0.5706248922719123,0.129874513642562,0.5433712446195539,0.6980609573966883,0.44689606230651036,0.606535027865582,0.34801033152278965,0.601978926890181,0.6926762570725131,0.17777197736710956,0.6326254374665795,0.5203255226392702,0.5283163024495517,0.6443655155255074,0.49059203112212557,0.28433713999224014,0.8661873201836189,0.5464634778163273,0.530533566549942,0.36023667172136264,0.5187682777303213,0.1296293697449863,0.1797569761204761,0.5095377664335856,0.6359432359775647,0.5323634470385171,0.4438773872827252,0.4493748855883909,0.5752255803379532,0.15513275840125476,0.574957072896062,0.43765866138968446,0.5249002995554662,0.7117280590977948,0.3886439784442185,0.3333103452742507
5,5,0.47202529024677753,0.20435155225613416,0.8229072534275176,0.5266761763931636,0.5644593331922694,0.53092556690807,0.38292898703365347,0.5791934116366337,0.7626318931753961,0.5360689855098205,0.3409010349793009,0.25802683865632414,0.5438909385409603,0.5888148649609789,0.6326342435312109,0.3913807916801888,0.5221489031270717,0.21006248637157413,0.25344547549497093,0.2317151663794794,0.4995472598048041,0.7423693386003777,0.45750737169999695,0.6196156169395286,0.4208902246913071,0.504345236545827,0.4032541086944403,0.3046299121417221,0.5376590858826982,0.512815049660458,0.48214802444281807,0.46215540167728797,0.44378641398379876,0.4292633695678158,0.4188278995502826,0.7036130182810209,0.4571640911843392,0.428385971420016,0.4221807301648605,0.7326671044064582,0.4232921889795397,0.39866367775809136,0.4578862260621664,0.4817183146268623,0.38980272732260934,0.5446396980119713,0.17759577760326317,0.36319706464356755,0.5272968235004473,0.6292195603760732,0.5557702946478208,0.3104600476777542,0.5010054391564038,0.2866829601389088,0.33587662682214625,0.4782096168072128,0.5408853380634726,0.8314337501926605,0.4849334560508087,0.30869029249387303,0.4523861385549659,0.21810362925875024,0.5030518204919229,0.6326439636395152,0.4601357811961028,0.6915267682074187,0.13588443927434074,0.5545696089791603,0.5290588195937449,0.47054613419971125,0.2965459687837504,0.386912043214866,0.33461893842817264,0.38261741859315923,0.5386558272868655,0.3201670393897161,0.4553139926546777,0.6200250937864764,0.7092172471385984,0.9822702449721551,0.7702763021781207,0.40740532967881776,0.5436653908894483,0.5420520927424837,0.5201352655187453,0.496708744124484,0.572340203212895,0.22242579546694546,0.19308704463406018,0.5552675647826973,0.3150197262575316,0.36549003850463496,0.38844263426666903,0.4664436405546674,0.5778035625313745,0.26349588022031123,0.35586925775188905,0.7955806216221476,0.4933401309294564,0.6606636950053238,0.28630565090813354,0.749720060361154,0.578652927182948,0.2401249940331022,0.7722703973153908,0.5744436835369058,0.4867101788251094,0.5937679185456355,0.5355976516816635,0.3601453935344085,0.8928999084100341,0.48234920549765625,0.46433653007320663,0.39762980563900235,0.5651113163567714,0.14683963141723785,0.16338616424416283,0.46976737158636384,0.5890739434143523,0.49876635735484615,0.341179362570455,0.44573048763216583,0.5625383855181549,0.1622874775821094,0.6604405951468882,0.4420472171573582,0.5475818590779356,0.8837596446202258,0.5641706301069703,0.30837960837582234
6,6,0.5516810626268154,0.2004678769628388,0.860356720378043,0.534221303632705,0.620903965579123,0.491165283917469,0.45878535330050085,0.5496409956840729,0.59306076780428,0.5312256596607264,0.36274551768984103,0.459649037554405,0.6021761278778267,0.5934945713406456,0.49387811397689374,0.37464222059834934,0.4873433243090228,0.09428785512387153,0.4315117018309307,0.16188482868426327,0.49665938554240086,0.7679253922025787,0.3912700419083746,0.527582363022332,0.38287943668219154,0.41571346326855896,0.44862807901027696,0.2957316126893101,0.4440953921392767,0.6763384158102427,0.5165777487134098,0.48711185855398836,0.39867016563582564,0.4920377081420345,0.4118814957235078,0.7020092805798537,0.5128165447733749,0.5758028237376926,0.4248492245492338,0.8156147888300701,0.3320858673604051,0.34267574378352156,0.47234281489947083,0.530166373267942,0.5164916245992742,0.5214266540859118,0.3217021209806594,0.3124671706565463,0.543955936043563,0.5784132485399186,0.43492860493650126,0.19565721575831335,0.47880810020712156,0.3389872135732734,0.35018166460510936,0.48418142576386114,0.2873273717449287,0.8143349220266324,0.345520465277977,0.4102596029201303,0.5658298638658602,0.28829677957138955,0.4870728748839893,0.6311228139036619,0.4436686919330785,0.7482228416480106,0.2164104458921676,0.5934261340525485,0.6361770579630072,0.4004220716965768,0.488917147849256,0.36283417001956525,0.35180519624185413,0.41777000138814213,0.5892115718266762,0.3826975707312943,0.6084752688522924,0.5091627633177963,0.6536902301217751,1.0290330398688354,0.8516805353753567,0.3599298294329998,0.5919494140376335,0.4661338173085499,0.4845141728283984,0.4465140284405635,0.4484996873746217,0.22682402001373994,0.1392628090869979,0.5991053434812228,0.35851357207056245,0.3196495987796286,0.33743013084117796,0.5186758932060179,0.46448995361729295,0.21851819569367406,0.6235839702753284,0.6038975152746876,0.5573752583789273,0.6299501904457142,0.25880552473930285,0.7912664605003481,0.7477465250930172,0.2591533154981757,0.9177761760423692,0.7002250151386429,0.45916547033787547,0.5675114172785453,0.5012024331792946,0.2820913547270149,0.8403977250813155,0.659033477784066,0.4324236641626108,0.4831231132340342,0.6394174678580814,0.0792767226948137,0.0876426495034875,0.4879499525514865,0.6907422140250374,0.46613095371403096,0.40471282121307484,0.4717509192869864,0.5189737474078995,0.18848231340187674,0.6155334051757501,0.5600992210397998,0.6289280199928973,0.829264726501529,0.46850926520684155,0.3838953049606587
7,7,0.5180645104247145,0.21266880338693353,0.8458161281656449,0.5218796814974591,0.6061659163911722,0.5364185854133293,0.44193593524992447,0.5343888025380165,0.6286115228497632,0.5392035545436746,0.38784869285681284,0.2659849723467431,0.5598770241516674,0.5699206242021739,0.5770296055471511,0.335977171798691,0.5119153296661364,0.25960042435014885,0.36609794418984054,0.2194778267923931,0.6356806472576199,0.8588390773314911,0.47290955756076003,0.506706118301588,0.3737743913525608,0.38819010672889587,0.5221459937852271,0.31666218515399674,0.49931567759692447,0.5360161451990202,0.5957691066064607,0.48415784138074874,0.3643482048710925,0.5252701085219469,0.357977026867055,0.7508046022632272,0.4686070150662164,0.5850543680968024,0.44847718882301296,0.779569094688198,0.3602334896852505,0.42335980198272544,0.42961745448569366,0.6644218060802826,0.5329272446930703,0.5638952647218843,0.2697131185596158,0.45876505677564083,0.5896618517447888,0.6501952409879502,0.5090128443974758,0.25982957000249013,0.40049471252138974,0.3018609940603354,0.40692515121291817,0.37644775095873134,0.48536275168800835,0.8283527269920479,0.45154866380742803,0.5783408685613333,0.6721502238981806,0.3726396634735225,0.4502746183082462,0.6461340846047996,0.5467623093554841,0.718929061184046,0.18811985116867316,0.6478989884199327,0.5883382951678817,0.4071023554802373,0.5349653454344168,0.45827935827000554,0.4214527176319493,0.45559541206097404,0.45722015882631345,0.3125275025163831,0.7163281553004972,0.6689324121257174,0.6932898124759123,0.9802502041792523,0.8160843610380948,0.34809655128850175,0.500130532369128,0.46424770611315214,0.5097494673641103,0.6324728383207768,0.4838160456102081,0.2651656355819455,0.14871519074310693,0.5757290643411012,0.37017806622622734,0.3805707237080735,0.42199259026364233,0.5909084882661484,0.5994984567880061,0.20816736652104162,0.5044053516687449,0.7619182444475374,0.5317043082971175,0.6495391250203798,0.3871996872643985,0.7761231137307485,0.647398461486703,0.22186491539467434,0.7154689918462602,0.6050508741879246,0.5152024253174502,0.5655773495747767,0.5171928266457577,0.3541794452891074,0.9456141288567792,0.5336555863238522,0.4649024827296372,0.5092136129731231,0.7253695580470655,0.17816158074440844,0.15869134258649287,0.37737073141897237,0.6477235064356851,0.5281179992211709,0.5006337642712808,0.4052515888226916,0.5836224611302732,0.21435945719297292,0.6539885783757774,0.42689015392735535,0.5019866068574995,0.8347414976260839,0.4235149693794969,0.3668677807477601
8,8,0.556869699389252,0.17001738687653745,0.8213527433923447,0.5614982875204836,0.6728236292178964,0.5102454499591849,0.474989586590337,0.49616858338649006,0.6121448658760742,0.509417706993959,0.41995751446461566,0.21939100829279437,0.5968711644044304,0.6146507375243466,0.48544984617892484,0.2421265924376986,0.4342461485010291,0.12265112762647999,0.4009397378711988,0.20404517690487342,0.5664954823362798,0.7567672319938445,0.40214249275197056,0.47313326014088675,0.4188652592465063,0.4100747829864682,0.5726756152766831,0.30761482459033274,0.6107025673865144,0.5788562936871263,0.4946665675827155,0.4662095674548439,0.3505454145689727,0.4028562707576833,0.4341211453357911,0.6446011929045898,0.47515624873694207,0.5674246766794622,0.4358200259877663,0.8165551076258701,0.4377319065013925,0.4257762626561533,0.4369836401908819,0.5737277769817934,0.3774110054715671,0.467758764996538,0.25881242835349244,0.3665136214824367,0.4584539595789788,0.7037811584458316,0.544608140605791,0.27105053589954475,0.4254451336274146,0.29430109052724823,0.4779688978089066,0.45802313588631016,0.4201286804124323,0.8478682487991787,0.4705929683977248,0.42587173370408055,0.5932850027879312,0.3353841952414831,0.3909500734905388,0.5804748198947494,0.46392914678182934,0.700156273907116,0.24750046154606295,0.5839784327611408,0.6458744061972908,0.5170438108859905,0.4387386389010325,0.42386338569010656,0.3518187521809406,0.41325008821485276,0.6607835832281985,0.40120818014956267,0.5856849259016644,0.5628878486674058,0.6606131419692,1.0241341309394365,0.9290507420545104,0.39603988597810535,0.523036526545048,0.4866664305279606,0.5712522900952373,0.5250549190666634,0.5835879426500931,0.12316390033865225,0.1795286713507411,0.6335832653687609,0.36427260187425686,0.35563992448213994,0.40872011726735885,0.5211396036655572,0.6021836120935323,0.25075254991579027,0.6409361491953061,0.6095319086187387,0.5676694091770442,0.6854229085053649,0.3230704295960741,0.7128946352536509,0.6419218587421169,0.24193047762151668,0.65654027738602,0.5584244863171638,0.5429844581886972,0.6151975447935477,0.5088633578104783,0.3476503144629501,0.9268744616573977,0.5001335180697508,0.4036245965542267,0.4556305691587123,0.5388844095598745,0.11206443080363339,0.06793964555564744,0.4452458646314977,0.6559999221716692,0.4766832241350444,0.5432730157168372,0.4703749820903432,0.41094024675714985,0.19521337505038558,0.6138585873758899,0.4034659875006134,0.6542566054935655,0.8314901865892665,0.4697850362857511,0.39349322479518706
9,9,0.5860155114217261,0.22829634612077504,0.884276209948563,0.4889562335108486,0.722677760706784,0.6609919887221276,0.46800715812491883,0.4553981220498006,0.681924048568231,0.5820001964148975,0.4146635259812649,0.37868228203666543,0.5620712945522753,0.6547519353719407,0.5161603904132959,0.3224339328727714,0.4780958882424448,0.1904845100935532,0.48893380364931355,0.24389576346855787,0.6141814572664079,0.761794512709312,0.3494675877873715,0.6383135117659184,0.537750845625618,0.4396039694158854,0.4321293600680292,0.35977228226272906,0.5449741469311034,0.5932110942891597,0.5101613956716219,0.47980635067819,0.40490920630502786,0.5393804589413754,0.4263103069957822,0.7076291306711239,0.4166225903237401,0.6067394518350172,0.39842053446384895,0.8430114271318946,0.33732955805816517,0.39995950981575035,0.5080915777260466,0.5417535030868538,0.46977279474197,0.5096021736845365,0.4021718513489932,0.36162134249224287,0.48098206690641315,0.6141802045834156,0.5350128804187485,0.25324381751470787,0.5152327063345418,0.2862095321680325,0.33282546373880006,0.5470505701395194,0.5685305572932553,0.8966631131115949,0.3943807126334217,0.45674357407987876,0.5257588786433306,0.31721731038245454,0.48670625111637694,0.6768229799432901,0.5111771839034048,0.6908662596160038,0.2161869991004747,0.6808828682796032,0.6835612712821496,0.4526498225975043,0.4977911990687101,0.4396910773359484,0.3561665407993775,0.508654207834844,0.46571542728577175,0.38182133494044046,0.6152876348314069,0.5721936569116461,0.7301420383301976,1.0262151490022446,0.8483233807880193,0.39988967128355407,0.5621990113258901,0.5892584071584276,0.4494131978441407,0.5000712333453337,0.5184361222115196,0.2183099380347735,0.16270332754908506,0.5881953323529336,0.34687599114780737,0.28897577346667735,0.49564184755177104,0.3814515749539081,0.7032466268746325,0.18090763885381958,0.6056764353442253,0.7551314506753807,0.4748607620424857,0.7192410470112253,0.3045784053901176,0.7864696996912287,0.6510214872984998,0.17893819650125328,0.6673107201536504,0.7422472686229143,0.520993323614087,0.5646093624489864,0.5252976765013606,0.3040129743461169,0.9776103547441304,0.559601620091219,0.39678608038728513,0.4484622383148482,0.6215933951673487,0.10690266869472674,0.16958219440017042,0.5148729590803033,0.5858466550613217,0.5939619182693129,0.5337677693347992,0.4659352948940056,0.4861668066139222,0.21246181655138585,0.6324140774192353,0.5696251346245297,0.75685114646914,0.7836282479964483,0.4379352850057017,0.3124068280043424
