,Home Team,Home Score,Away Team,Away Score,HomeAway Bool
0,Akron,14,UCF,56,1
1,Ball St,37,E Michigan,26,1
2,Vanderbilt,13,South Carolina,17,1
3,Connecticut,37,Massachusetts,0,1
4,UNLV,27,Minnesota,30,1
5,BYU,30,Washington St,6,1
6,Rice,24,UCLA,49,1
7,Tennessee,35,NC State,21,0
8,Michigan St,17,Boise St,13,1
9,Stanford,20,San Jose St,17,1
10,Iowa St,38,Tulsa,23,1
11,South Alabama,31,UT San Antonio,33,1
12,Alabama,41,Michigan,14,0
13,LSU,41,North Texas,14,1
14,Nebraska,49,Southern Miss,20,1
15,Ohio St,56,Miami OH,10,1
16,Oregon,57,Arkansas St,34,1
17,Penn St,14,Ohio,24,1
18,Tulane,12,Rutgers,24,1
19,Clemson,26,Auburn,19,0
20,Duke,46,Florida Intl,26,1
21,East Carolina,35,Appalachian St,13,1
22,Florida,27,Bowling Green,14,1
23,Boston College,32,Miami FL,41,1
24,California,24,Nevada,31,1
25,UAB,29,Troy,39,1
26,Arizona,24,Toledo,17,1
27,USC,49,Hawaii,10,1
28,Texas,37,Wyoming,17,1
29,Syracuse,41,Northwestern,42,1
30,Georgia,45,Buffalo,23,1
31,Illinois,24,W Michigan,7,1
32,Houston,13,Texas St,30,1
33,West Virginia,69,Marshall,34,1
34,UTEP,7,Oklahoma,24,1
35,Iowa,18,N Illinois,17,0
36,Washington,21,San Diego St,12,1
37,Notre Dame,50,Navy,10,0
38,Wake Forest,20,Liberty,17,1
39,Colorado St,22,Colorado,17,0
40,Louisville,32,Kentucky,14,1
41,Baylor,59,SMU,24,1
42,Virginia Tech,20,Georgia Tech,17,1
43,Cincinnati,34,Pittsburgh,10,1
44,Utah St,27,Utah,20,1
45,UCLA,36,Nebraska,30,1
46,Wake Forest,28,North Carolina,27,1
47,Virginia,17,Penn St,16,1
48,Troy,24,Louisiana,37,1
49,Iowa,6,Iowa St,9,1
50,Kansas St,52,Miami FL,13,1
51,Houston,49,Louisiana Tech,56,1
52,Stanford,50,Duke,13,1
53,Texas St,10,Texas Tech,58,1
54,Kansas,24,Rice,25,1
55,Kentucky,47,Kent,14,1
56,USC,42,Syracuse,29,0
57,Temple,27,Maryland,36,1
58,Texas,45,New Mexico,0,1
59,Texas A&M,17,Florida,20,1
60,Tennessee,51,Georgia St,13,1
61,Clemson,52,Ball St,27,1
62,C Michigan,7,Michigan St,41,1
63,Tulsa,45,Tulane,10,1
64,Connecticut,7,NC State,10,1
65,Wyoming,31,Toledo,34,1
66,South Carolina,48,East Carolina,10,1
67,Arizona St,45,Illinois,14,1
68,Arizona,59,Oklahoma St,38,1
69,Alabama,35,WKU,0,1
70,ULM,34,Arkansas,31,0
71,Arkansas St,33,Memphis,28,1
72,Oregon St,10,Wisconsin,7,1
73,Oregon,42,Fresno St,25,1
74,Ohio,51,New Mexico St,24,1
75,Ohio St,31,UCF,16,1
76,Massachusetts,6,Indiana,45,1
77,Michigan,31,Air Force,25,1
78,Mississippi St,28,Auburn,10,1
79,Missouri,20,Georgia,41,1
80,MTSU,31,FL Atlantic,17,1
81,Mississippi,28,UTEP,10,1
82,LSU,41,Washington,3,1
83,Florida Intl,41,Akron,38,1
84,Nevada,31,South Florida,32,1
85,Notre Dame,20,Purdue,17,1
86,San Diego St,42,Army,7,1
87,Northwestern,23,Vanderbilt,13,1
88,South Florida,13,Rutgers,23,1
89,UNLV,27,Washington St,35,1
90,Nebraska,42,Arkansas St,13,1
91,Missouri,24,Arizona St,20,1
92,Northwestern,22,Boston College,13,1
93,Ohio St,35,California,28,1
